"gene_ID"	"Loglikelihood_ratio"
"Probe1"	37.086926385258
"Probe2"	0.840252173224769
"Probe3"	7.06153473692564
"Probe4"	0.628635909223107
"Probe5"	-27.8550483896822
"Probe6"	-21.0342069987299
"Probe7"	-4.10134246474718
"Probe8"	1.22778907408313
"Probe9"	-87.8334704458681
"Probe10"	3.92536349219012
"Probe11"	-0.939301406563189
"Probe12"	-0.623703269522821
"Probe13"	-4.19424142663256
"Probe14"	4.18915316793712
"Probe15"	-187.136721435053
"Probe16"	-49.6361742587217
"Probe17"	-17.2906211490436
"Probe18"	-1.49604577406539
"Probe19"	-54.2728297677298
"Probe20"	0.209529756892408
